,PLZ,Ortsname,YB,YB_relativ,YB_pro_1000,SCB,SCB_relativ,SCB_pro_1000,derby
404,1658,Rossinière,,,,,,,Unentschieden
405,1659,"Château-d'Oex, Rougemont",,,,,,,Unentschieden
406,1660,Château-d'Oex,,,,3.0,0.0008888888888888889,0.888888888888889,Unentschieden
407,1661,"Gruyères, Le Pâquier (FR)",,,,1.0,0.000925925925925926,0.9259259259259259,Unentschieden
408,1663,Gruyères,1.0,0.0004805382027871216,0.4805382027871216,,,,Unentschieden
409,1665,Bas-Intyamon,,,,,,,Unentschieden
410,1666,"Grandvillard, Bas-Intyamon",,,,,,,Unentschieden
411,1667,Bas-Intyamon,,,,,,,Unentschieden
412,1669,Haut-Intyamon,,,,,,,Unentschieden
413,1670,Ursy,,,,,,,Unentschieden
414,1673,"Auboranges, Ecublens (FR), Rue",,,,,,,Unentschieden
415,1674,"Montet (Glâne), Ursy",,,,,,,Unentschieden
416,1675,"Rue, Ursy",,,,,,,Unentschieden
417,1676,Siviriez,,,,,,,Unentschieden
418,1677,Siviriez,,,,,,,Unentschieden
419,1678,Siviriez,1.0,0.0009208103130755065,0.9208103130755064,1.0,0.0009208103130755065,0.9208103130755064,Unentschieden
