,d1,d2,area,population,density,lat,lon,B,K,L,shortname,x,y,Lp10T,Bp10T,Kp10T,logdensity
????? ???,?????,???,29.7,470782.0,15851.24579124579,37.602695700000005,126.9291119,2.0,1.0,8.0,????,4,3,0.16993003130960826,0.042482507827402066,0.021241253913701033,4.200063400244761
????? ???,?????,???,23.9,177543.0,7428.577405857741,37.572950299999995,126.97935790000001,2.0,5.0,5.0,????,6,3,0.28162191694406424,0.1126487667776257,0.28162191694406424,3.87090565306881
????? ??,?????,??,9.96,137861.0,13841.465863453814,37.5640907,126.9979403,7.0,3.0,5.0,????,6,4,0.36268415287862416,0.5077578140300738,0.21761049172717445,4.14118208598042
????? ???,?????,???,18.5,429700.0,23227.027027027027,37.606560200000004,127.0926519,1.0,2.0,8.0,????,8,4,0.18617640214102862,0.023272050267628578,0.046544100535257156,4.36599362528089
??????? ???,???????,???,465.23,132016.0,283.7650194527438,36.576144299999996,127.24707590000001,0.0,0.0,4.0,??,4,11,0.3029935765361774,0.0,0.0,2.452958857664861
????? ??,?????,??,72.11,347437.0,4818.152822077383,35.54368300000001,129.3298017,1.0,1.0,8.0,????,12,15,0.2302575718763402,0.028782196484542524,0.028782196484542524,3.6828805708247057
????? ??,?????,??,35.77,176552.0,4935.756220296337,35.50485629999999,129.4166007,1.0,0.0,5.0,????,12,14,0.2832026824958086,0.05664053649916172,0.0,3.693353701512503
????? ??,?????,??,80.41,173677.0,2159.893048128343,35.58273399999999,129.3609087,0.0,0.0,5.0,????,12,13,0.2878907397064666,0.0,0.0,3.3344322466334892
????? ???,?????,???,754.93,200261.0,265.27095227372075,35.54,129.2,0.0,0.0,7.0,??,11,15,0.34954384528190713,0.0,0.0,2.423689696428206
????? ??,?????,??,37.0,231900.0,6267.567567567568,35.56879110000001,129.3321348,1.0,0.0,5.0,????,11,14,0.21561017680034497,0.04312203536006899,0.0,3.7970990245709926
