Date,D0,D1,Value
2006-11,M0,HKD100,15.877927
2006-11,M0,KRW100,0.1321
2006-11,M0,MYR100,33.9027
2006-11,M0,NZD1,0.826
2006-11,M0,SGD100,79.3473
2006-11,M0,THB100,3.3811
2006-11,M0,XDR1,1.842111
2006-12,M0,EUR1,1.5966
2006-12,M0,GBP1,2.373
2006-12,M0,DKK100,21.4137
2006-12,M0,NOK100,19.5532
2006-12,M0,CZK100,5.7401
2006-12,M0,HUF100,0.6282
2006-12,M0,PLN100,41.8663
2006-12,M0,RUB100,4.5947
2006-12,M0,SEK100,17.6568
2006-12,M0,TRY100,84.215789
2006-12,M0,USD1,1.2078
2006-12,M0,CAD1,1.049
2006-12,M0,ARS100,39.4368
2006-12,M0,BRL100,56.1316
2006-12,M0,MXN100,11.1153
2006-12,M0,ZAR1,0.1712
2006-12,M0,JPY100,1.0311
2006-12,M0,AUD1,0.949489
2006-12,M0,CNY100,15.47395238
2006-12,M0,HKD100,15.538105
2006-12,M0,KRW100,0.1305
2006-12,M0,MYR100,34.0047
2006-12,M0,NZD1,0.8361
2006-12,M0,SGD100,78.3947
2006-12,M0,THB100,3.3769
2006-12,M0,XDR1,1.823164
2007-01,M0,EUR1,1.6157
2007-01,M0,GBP1,2.4367
2007-01,M0,DKK100,21.6719
2007-01,M0,NOK100,19.5176
2007-01,M0,CZK100,5.7973
2007-01,M0,HUF100,0.6358
2007-01,M0,PLN100,41.6067
2007-01,M0,RUB100,4.6943
2007-01,M0,SEK100,17.7838
2007-01,M0,TRY100,87.045714
2007-01,M0,USD1,1.2439
2007-01,M0,CAD1,1.0578
2007-01,M0,ARS100,40.2724
2007-01,M0,BRL100,58.0952
2007-01,M0,MXN100,11.349
2007-01,M0,ZAR1,0.1724
2007-01,M0,JPY100,1.032743
2007-01,M0,AUD1,0.973124
2007-01,M0,CNY100,15.95095652
2007-01,M0,HKD100,15.945762
2007-01,M0,KRW100,0.1327
2007-01,M0,MYR100,35.4581
2007-01,M0,NZD1,0.864
2007-01,M0,SGD100,80.8786
2007-01,M0,THB100,3.4718
2007-01,M0,XDR1,1.859619
2007-02,M0,EUR1,1.6213
2007-02,M0,GBP1,2.4271
2007-02,M0,DKK100,21.7485
2007-02,M0,NOK100,20.042
2007-02,M0,CZK100,5.7388
2007-02,M0,HUF100,0.6396
2007-02,M0,PLN100,41.6145
2007-02,M0,RUB100,4.711
2007-02,M0,SEK100,17.6455
2007-02,M0,TRY100,88.6105
2007-02,M0,USD1,1.2402
2007-02,M0,CAD1,1.0582
2007-02,M0,ARS100,39.9225
2007-02,M0,BRL100,59.07
2007-02,M0,MXN100,11.2795
2007-02,M0,ZAR1,0.1727
2007-02,M0,JPY100,1.028395
2007-02,M0,AUD1,0.96983
2007-02,M0,CNY100,15.9846
2007-02,M0,HKD100,15.87629
2007-02,M0,KRW100,0.1323
2007-02,M0,MYR100,35.4625
2007-02,M0,NZD1,0.8593
2007-02,M0,SGD100,80.849
2007-02,M0,THB100,3.5194
2007-02,M0,XDR1,1.85806
2007-03,M0,EUR1,1.6126
2007-03,M0,GBP1,2.3708
2007-03,M0,DKK100,21.6432
2007-03,M0,NOK100,19.8314
2007-03,M0,CZK100,5.743
2007-03,M0,HUF100,0.6453
2007-03,M0,PLN100,41.4782
2007-03,M0,RUB100,4.6655
2007-03,M0,SEK100,17.3332
2007-03,M0,TRY100,86.380455
2007-03,M0,USD1,1.218
2007-03,M0,CAD1,1.0416
2007-03,M0,ARS100,39.2305
2007-03,M0,BRL100,58.2045
2007-03,M0,MXN100,10.9527
2007-03,M0,ZAR1,0.1655
2007-03,M0,JPY100,1.037986
2007-03,M0,AUD1,0.965132
2007-03,M0,CNY100,15.74277273
2007-03,M0,HKD100,15.587523
2007-03,M0,KRW100,0.1291
2007-03,M0,MYR100,34.885
2007-03,M0,NZD1,0.8506
2007-03,M0,SGD100,79.8664
2007-03,M0,THB100,3.552
2007-03,M0,XDR1,1.836779
2007-04,M0,EUR1,1.6374
2007-04,M0,GBP1,2.4104
2007-04,M0,DKK100,21.9674
2007-04,M0,NOK100,20.1716
2007-04,M0,CZK100,5.8443
2007-04,M0,HUF100,0.6652
2007-04,M0,PLN100,42.8958
2007-04,M0,RUB100,4.6911
2007-04,M0,SEK100,17.7111
2007-04,M0,TRY100,88.966842
2007-04,M0,USD1,1.2116
2007-04,M0,CAD1,1.0669
2007-04,M0,ARS100,39.16
2007-04,M0,BRL100,59.5579
2007-04,M0,MXN100,11.02
2007-04,M0,ZAR1,0.17
2007-04,M0,JPY100,1.019642
2007-04,M0,AUD1,1.001637
2007-04,M0,CNY100,15.69809524
