,catégorie,rang,année,pays,temps net,Age,vitesse
832,Hommes I,403.,1986,CH,"31.28,1",29.0,14.046226143665486
833,Hommes II,2034.,1982,CH,"44.59,0",33.0,9.853778874187038
834,Escaladelite Femmes,138.,1978,CH,"34.58,9",37.0,12.702882419266242
835,Escaladelite Hommes,215.,1982,CH,"27.14,4",33.0,16.187002652519894
836,Hommes I,---,1989,CH,--------,26.0,
837,Femmes I,---,1986,CH,--------,29.0,
838,Hommes V,223.,1954,CH,"41.32,7",61.0,10.631790354973747
840,Femmes II,186.,1979,CH,"24.08,6",36.0,18.24213235904675
841,Escaladelite Hommes,143.,1983,CH,"25.54,1",32.0,17.202928624564425
842,Hommes II,1465.,1979,CH,"36.46,9",36.0,12.048040801776853
843,Hommes V,---,1955,CH,--------,60.0,
844,Hommes II,548.,1984,CH,"31.53,3",31.0,13.933973932071163
845,Femmes II,247.,1982,CH,"24.42,9",33.0,17.986000245609727
846,Femmes II,692.,1979,CH,"27.54,6",36.0,15.950773252014812
847,Hommes III,652.,1975,CH,"33.19,5",40.0,13.236330772706733
857,Femmes IV,296.,1961,CH,"27.47,4",54.0,15.992574797990828
858,Femmes IV,---,1960,CH,--------,55.0,
861,Hommes IV,625.,1962,CH,"37.51,3",53.0,11.712739583611016
862,Femmes III,224.,1973,CH,"24.19,3",42.0,18.16145165957095
880,Femmes III,329.,1966,CH,"25.19,8",49.0,17.437098182395427
909,Hommes II,1136.,1976,F,"34.59,6",39.0,12.7003121748179
962,Femmes II,314.,1978,CH,"25.17,1",37.0,17.45580231218466
1004,Escaladelite Hommes,267.,1979,CH,"28.02,2",36.0,15.67982299621726
1026,Femmes II,---,1977,CH,--------,38.0,
1027,Hommes II,9.,1981,CH,"25.26,7",34.0,17.389480349863458
1030,Hommes III,1345.,1975,CH,"37.12,0",40.0,11.836745689655173
1040,Femmes I,432.,1986,CH,"25.33,2",29.0,17.34486025580294
1068,Hommes III,1850.,1973,F,"42.42,9",42.0,10.355652973202291
1069,Hommes II,2007.,1977,CH,"43.25,5",38.0,10.157900820714367
1070,Femmes I,587.,1987,CH,"26.39,6",28.0,16.645703894529476
1071,Hommes II,1547.,1985,CH,"37.20,1",30.0,11.810972823311202
1072,Hommes I,938.,1992,CH,"35.27,4",23.0,12.456200034019393
1073,Hommes II,---,1979,CH,--------,36.0,
1074,Femmes I,328.,1992,CH,"24.56,9",23.0,17.883511742439662
1075,Hommes III,139.,1975,CH,"29.42,3",40.0,14.933215511674542
1076,Femmes II,913.,1985,CH,"29.37,9",30.0,14.955580516695598
1077,Hommes II,1777.,1976,CH,"39.20,6",39.0,11.206958118655308
1078,Hommes III,---,1970,CH,--------,45.0,
1079,Femmes I,1063.,1988,CH,"30.38,7",27.0,14.459472800868793
1080,Hommes III,---,1973,CH,--------,42.0,
1081,Femmes I,---,1990,CH,--------,25.0,
1082,Hommes II,1385.,1979,CH,"36.14,9",36.0,12.154693075880383
1083,Femmes I,1266.,1991,CH,"36.21,5",24.0,12.132541764462239
1084,Hommes III,902.,1973,CH,"34.37,1",42.0,12.783451165226499
1085,Hommes II,---,1981,CH,--------,34.0,
1086,Hommes I,886.,1991,CH,"34.57,1",24.0,12.709496398715688
1087,Hommes I,1323.,1989,CH,"42.05,5",26.0,10.447746997978838
1088,Femmes I,---,1991,CH,--------,24.0,
1090,Femmes III,501.,1975,CH,"26.51,2",40.0,16.572872661436328
1091,Femmes I,1279.,1995,CH,"38.44,0",20.0,11.430280957336109
1094,Femmes III,706.,1971,CH,"28.21,0",44.0,15.575327897908545
1095,Femmes II,1251.,1984,CH,"38.37,5",31.0,11.449641693811076
1096,Femmes II,1038.,1985,CH,"30.59,4",30.0,14.36163953716415
1097,Femmes III,---,1969,CH,--------,46.0,
1098,Hommes III,---,1967,CH,--------,48.0,
1099,Femmes I,719.,1989,CH,"27.28,6",26.0,16.10276332185003
1100,Femmes II,---,1981,CH,--------,34.0,
1101,Hommes II,---,1976,CH,--------,39.0,
1102,Femmes II,505.,1978,CH,"26.37,7",37.0,16.657694203283167
1103,Femmes I,950.,1990,CH,"29.26,9",25.0,15.011787215142302
1104,Femmes II,---,1979,CH,--------,36.0,
