,1ère boucle,2ème boucle,3ème boucle,nom,temps net
254,"      9.09,9 ","     9.45,7 ","     9.14,4 ",Jagdeep Steve,"    27.56,4 "
255,"      8.52,7 ","     9.47,9 ","     9.29,6 ",Denis Marc,"    27.55,4 "
256,"      9.07,2 ","     9.47,5 ","     9.15,7 ",Kolly Christophe,"    28.01,3 "
257,"      9.30,2 ","     9.37,7 ","     9.02,6 ",Schindfessel Yves,"    27.59,4 "
258,"      8.53,7 ","     9.49,2 ","     9.28,5 ",Robertson Jamie,"    27.59,9 "
259,"      8.48,1 ","     9.55,0 ","     9.30,1 ",Zejjari Karim,"    28.03,9 "
260,"      8.59,3 ","     9.48,7 ","     9.25,3 ",Deelder Wouter,"    28.02,5 "
261,"      9.02,6 ","     9.44,6 ","     9.26,3 ",Giauque Philippe,"    28.00,5 "
262,"      9.10,9 ","     9.44,6 ","     9.18,7 ",Corbelet Nicolas,"    28.01,7 "
263,"      9.06,9 ","     9.50,1 ","     9.17,5 ",Del Signore Fabio,"    28.03,8 "
264,"      9.19,6 ","     9.40,5 ","     9.15,0 ",Gallet Renaud,"    28.01,1 "
265,"      8.46,4 ","     9.50,9 ","     9.38,3 ",Sallaz Bernard,"    28.03,7 "
266,"      8.53,7 ","     9.52,7 ","     9.29,5 ",Chollet Gregory,"    28.02,2 "
267,"      9.24,3 ","     9.47,4 ","     9.04,3 ",Kopp Jérôme,"    28.01,1 "
268,"      8.59,4 ","     9.47,4 ","     9.30,1 ",Violot Anthony,"    28.01,5 "
269,"      9.04,5 ","     9.51,9 ","     9.21,0 ",Ibbotson Peter,"    28.07,0 "
270,"      8.53,3 ","     9.49,8 ","     9.34,4 ",Forgerit Benoit,"    28.07,7 "
271,"      9.06,0 ","     9.51,6 ","     9.20,4 ",Salzgeber Daniel,"    28.06,7 "
272,"      9.01,7 ","     9.49,2 ","     9.28,0 ",Dupertuis Raphael,"    28.07,2 "
273,"      9.15,4 ","     9.42,8 ","     9.20,9 ",Dore Graham,"    28.06,2 "
274,"      9.03,7 ","     9.52,6 ","     9.22,8 ",Mathieu Yoann,"    28.07,1 "
275,"      9.00,0 ","     9.41,8 ","     9.39,1 ",Conway Anthony,"    28.06,2 "
276,"      9.26,8 ","     9.48,9 ","     9.09,8 ",Marchese Giuseppe,"    28.14,0 "
277,"      9.03,0 ","     9.57,4 ","     9.26,7 ",Brown James,"    28.14,9 "
278,"      9.07,4 ","     9.58,0 ","     9.22,0 ",Piegay Vincent,"    28.13,8 "
