P. Name,P. Mass Class,P. Habitable Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Surf Press (EU),P. Period (days),P. Sem Major Axis (AU),P. Mean Distance (AU),S. Name,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. Age (Gyrs),S. Distance (pc),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. ESI,P. Habitable,P. Hab Moon
Kepler-259 c,Neptunian,non-habitable,3.77,2.7,0.19,0.52,1.18,533.2,533.2,533.2,0.7,36.92,0.217,0.22,Kepler-259,Lyra,G,1,0.9,5938,0.903516,,,2,0,0.706,1.658,0.28,0,0
Kepler-260 b,Superterran,non-habitable,10.4,2,1.29,2.59,2.28,783.9,783.9,783.9,13.4,8.19,0.075,0.07,Kepler-260,Lyra,K,0.88,0.86,5250,0.504109,,,2,0,0.549,1.315,0.27,0,0
Kepler-260 c,Superterran,non-habitable,5.96,1.74,1.14,1.98,1.85,372.6,372.6,372.6,6.8,76.05,0.332,0.33,Kepler-260,Lyra,K,0.88,0.86,5250,0.504109,,,2,0,0.549,1.315,0.51,0,0
Kepler-261 b,Superterran,non-habitable,14.46,2.17,1.41,3.06,2.58,673.5,673.5,673.5,20.4,10.38,0.088,0.09,Kepler-261,Lyra,K,0.87,0.79,5098,0.378219,,,2,0,0.479,1.155,0.27,0,0
Kepler-261 c,Superterran,non-habitable,10.17,1.99,1.28,2.56,2.26,505.8,505.8,505.8,13.1,24.57,0.156,0.16,Kepler-261,Lyra,K,0.87,0.79,5098,0.378219,,,2,0,0.479,1.155,0.34,0,0
Kepler-262 b,Terran,non-habitable,2.44,1.36,0.98,1.33,1.34,735.2,735.2,735.2,2.4,13.06,0.108,0.11,Kepler-262,Lyra,G,0.99,0.88,5841,0.808731,,,2,0,0.672,1.581,0.3,0,0
Kepler-262 c,Superterran,non-habitable,4.77,1.64,1.09,1.78,1.71,619.7,619.7,619.7,5.2,21.85,0.152,0.15,Kepler-262,Lyra,G,0.98,0.88,5841,0.808731,,,2,0,0.672,1.581,0.31,0,0
Kepler-263 b,Neptunian,non-habitable,3.62,2.67,0.19,0.51,1.16,595.6,595.6,595.6,0.7,16.57,0.12,0.12,Kepler-263,Cygnus,K,0.84,0.79,5265,0.430266,,,2,0,0.507,1.213,0.26,0,0
Kepler-263 c,Superterran,non-habitable,25.16,2.46,1.68,4.14,3.2,419.4,419.4,419.4,42.3,47.33,0.242,0.24,Kepler-263,Cygnus,K,0.84,0.79,5265,0.430266,,,2,0,0.507,1.213,0.38,0,0
Kepler-264 b,Neptunian,non-habitable,7.27,3.33,0.2,0.66,1.48,677.4,677.4,677.4,1.4,40.81,0.249,0.25,Kepler-264,Lyra,F,1.32,1.55,6158,3.099645,,,2,0,1.291,3.015,0.22,0,0
Kepler-264 c,Neptunian,non-habitable,4.34,2.82,0.19,0.55,1.24,449.3,449.3,449.3,0.8,140.1,0.566,0.57,Kepler-264,Lyra,F,1.32,1.55,6158,3.099645,,,2,0,1.291,3.015,0.33,0,0
Kepler-265 b,Superterran,non-habitable,7.73,1.86,1.2,2.24,2.04,1027.3,1027.3,1027.3,9.3,6.85,0.069,0.07,Kepler-265,Lyra,G,1.03,1.1,5835,1.258458,,,4,0,0.839,1.974,0.27,0,0
Kepler-265 c,Neptunian,non-habitable,3.47,2.63,0.19,0.5,1.15,757.2,757.2,757.2,0.7,17.03,0.127,0.13,Kepler-265,Lyra,G,1.03,1.1,5835,1.258458,,,4,0,0.839,1.974,0.24,0,0
Kepler-265 d,Superterran,non-habitable,26.25,2.49,1.71,4.25,3.25,555.5,555.5,555.5,44.8,43.13,0.236,0.24,Kepler-265,Lyra,G,1.03,1.1,5835,1.258458,,,4,0,0.839,1.974,0.29,0,0
Kepler-265 e,Neptunian,non-habitable,3.28,2.59,0.19,0.49,1.13,477.8,477.8,477.8,0.6,67.83,0.319,0.32,Kepler-265,Lyra,G,1.03,1.1,5835,1.258458,,,4,0,0.839,1.974,0.32,0,0
Kepler-266 b,Superterran,non-habitable,25.7,2.48,1.69,4.19,3.22,988.3,988.3,988.3,43.6,6.62,0.071,0.07,Kepler-266,Cygnus,G,0.99,1.03,5885,1.141695,,,2,0,0.797,1.872,0.24,0,0
Kepler-266 c,Neptunian,non-habitable,11.68,3.89,0.2,0.77,1.73,389.6,389.6,389.6,2.3,107.72,0.457,0.46,Kepler-266,Cygnus,G,0.99,1.03,5885,1.141695,,,2,0,0.797,1.872,0.36,0,0
Kepler-267 b,Superterran,non-habitable,9.95,1.98,1.28,2.53,2.24,730.4,730.4,730.4,12.7,3.35,0.037,0.04,Kepler-267,Cygnus,K,0.56,0.56,4258,0.092489,,,3,0,0.245,0.612,0.28,0,0
Kepler-267 c,Superterran,non-habitable,13.26,2.13,1.38,2.93,2.5,573.6,573.6,573.6,18.2,6.88,0.06,0.06,Kepler-267,Cygnus,K,0.56,0.56,4258,0.092489,,,3,0,0.245,0.612,0.3,0,0
Kepler-267 d,Superterran,non-habitable,17.55,2.27,1.49,3.39,2.78,358,358,358,26.2,28.46,0.154,0.15,Kepler-267,Cygnus,K,0.56,0.56,4258,0.092489,,,3,0,0.245,0.612,0.5,0,0
Kepler-268 b,Superterran,non-habitable,3.1,2.54,0.19,0.48,1.11,712.2,712.2,712.2,0.6,25.93,0.18,0.18,Kepler-268,Lyra,F,1.16,1.27,6081,1.978779,,,2,0,1.036,2.424,0.25,0,0
Kepler-268 c,Neptunian,non-habitable,7.65,3.38,0.2,0.67,1.5,483.2,483.2,483.2,1.5,83.45,0.391,0.39,Kepler-268,Lyra,F,1.15,1.27,6081,1.978779,,,2,0,1.036,2.424,0.28,0,0
Kepler-269 b,Superterran,non-habitable,25.16,2.46,1.68,4.14,3.2,1022.8,1022.8,1022.8,42.3,5.33,0.061,0.06,Kepler-269,Lyra,G,0.98,0.96,5847,0.966417,,,2,0,0.735,1.728,0.24,0,0
Kepler-269 c,Superterran,non-habitable,5.4,1.69,1.12,1.89,1.79,887.6,887.6,887.6,6,8.13,0.081,0.08,Kepler-269,Lyra,G,0.98,0.96,5847,0.966417,,,2,0,0.735,1.728,0.28,0,0
Kepler-270 b,Superterran,non-habitable,10.4,2,1.29,2.59,2.28,988.2,988.2,988.2,13.4,11.48,0.107,0.11,Kepler-270,Lyra,F,1.24,1.46,6067,2.591145,,,2,0,1.187,2.777,0.26,0,0
Kepler-270 c,Superterran,non-habitable,6.4,1.77,1.16,2.05,1.9,761.9,761.9,761.9,7.4,25.26,0.18,0.18,Kepler-270,Lyra,F,1.22,1.46,6067,2.591145,,,2,0,1.187,2.777,0.28,0,0
Kepler-271 b,Terran,non-habitable,0.58,0.88,0.84,0.74,0.81,965.5,965.5,965.5,0.5,5.22,0.056,0.06,Kepler-271,Lyra,G,0.86,0.88,5524,0.646949,,,3,0,0.613,1.454,0.3,0,0
Kepler-271 c,Terran,non-habitable,0.86,1,0.87,0.86,0.93,857.5,857.5,857.5,0.7,7.41,0.071,0.07,Kepler-271,Lyra,G,0.87,0.88,5524,0.646949,,,3,0,0.613,1.454,0.3,0,0
Kepler-271 d,Subterran,non-habitable,0.23,0.66,0.79,0.52,0.59,,,,0.2,5.25,,,Kepler-271,Lyra,G,,0.88,5524,0.646949,,,3,0,0.613,1.454,,0,0
Kepler-272 b,Terran,non-habitable,2.97,1.43,1.01,1.44,1.44,1155.4,1155.4,1155.4,3,2.97,0.038,0.04,Kepler-272,Cygnus,K,0.79,0.93,5297,0.610908,,,3,0,0.603,1.442,0.29,0,0
Kepler-272 c,Superterran,non-habitable,6.72,1.79,1.17,2.09,1.94,912,912,912,7.8,6.06,0.061,0.06,Kepler-272,Cygnus,K,0.79,0.93,5297,0.610908,,,3,0,0.603,1.442,0.27,0,0
Kepler-272 d,Superterran,non-habitable,16.81,2.25,1.47,3.32,2.73,746.7,746.7,746.7,24.8,10.94,0.091,0.09,Kepler-272,Cygnus,K,0.79,0.93,5297,0.610908,,,3,0,0.603,1.442,0.26,0,0
Kepler-273 b,Terran,non-habitable,3.49,1.5,1.03,1.55,1.53,1160.7,1160.7,1160.7,3.6,2.94,0.037,0.04,Kepler-273,Cygnus,G,0.78,0.81,5626,0.589738,,,2,0,0.582,1.376,0.28,0,0
Kepler-273 c,Superterran,non-habitable,9.95,1.98,1.28,2.53,2.24,826.3,826.3,826.3,12.7,8.01,0.073,0.07,Kepler-273,Cygnus,G,0.81,0.81,5626,0.589738,,,2,0,0.582,1.376,0.27,0,0
Kepler-274 b,Terran,non-habitable,3.78,1.53,1.05,1.61,1.57,839.8,839.8,839.8,4,11.63,0.101,0.1,Kepler-274,Cygnus,F,1.02,1.01,6023,1.204437,,,2,0,0.811,1.9,0.29,0,0
Kepler-274 c,Superterran,non-habitable,7.38,1.84,1.19,2.19,2,590.9,590.9,590.9,8.8,33.2,0.204,0.2,Kepler-274,Cygnus,F,1.03,1.01,6023,1.204437,,,2,0,0.811,1.9,0.31,0,0
Kepler-275 b,Superterran,non-habitable,19.94,2.34,1.55,3.64,2.92,1020.1,1020.1,1020.1,31,10.3,0.098,0.1,Kepler-275,Cygnus,F,1.24,1.38,6165,2.4682,,,3,0,1.152,2.689,0.24,0,0
Kepler-275 c,Neptunian,non-habitable,7.65,3.38,0.2,0.67,1.5,878.9,878.9,878.9,1.5,16.09,0.132,0.13,Kepler-275,Cygnus,F,1.24,1.38,6165,2.4682,,,3,0,1.152,2.689,0.2,0,0
Kepler-275 d,Neptunian,non-habitable,7.27,3.33,0.2,0.66,1.48,674.7,674.7,674.7,1.4,35.68,0.224,0.22,Kepler-275,Cygnus,F,1.24,1.38,6165,2.4682,,,3,0,1.152,2.689,0.22,0,0
Kepler-276 b,Neptunian,non-habitable,4.57,2.87,0.19,0.56,1.26,724.1,724.1,724.1,0.9,14.13,0.119,0.12,Kepler-276,Cygnus,G,0.96,0.95,5812,0.923931,,,3,0,0.72,1.695,0.23,0,0
Kepler-276 c,Neptunian,non-habitable,14.31,2.9,0.59,1.7,2.22,567,567,567,8.4,31.88,0.1941,0.19,Kepler-276,Cygnus,G,0.96,0.95,5812,0.923931,,,3,0,0.72,1.695,0.26,0,0
Kepler-276 d,Neptunian,non-habitable,13.99,2.8,0.64,1.78,2.24,492.5,492.5,492.5,8.9,48.65,0.2572,0.26,Kepler-276,Cygnus,G,0.96,0.95,5812,0.923931,,,3,0,0.72,1.695,0.3,0,0
Kepler-277 b,Neptunian,non-habitable,89.02,2.92,3.56,10.42,5.52,958.6,958.6,958.6,317.3,17.32,0.1388,0.14,Kepler-277,Lyra,F,1.19,1.65,6306,3.862545,,,2,0,1.428,3.326,0.22,0,0
Kepler-277 c,Neptunian,non-habitable,66.77,3.36,1.76,5.91,4.46,773.2,773.2,773.2,117.5,33.01,0.2133,0.21,Kepler-277,Lyra,F,1.19,1.65,6306,3.862545,,,2,0,1.428,3.326,0.21,0,0
Kepler-278 b,Neptunian,non-habitable,19.12,4.58,0.2,0.91,2.04,813.3,829.3,846.5,3.8,30.16,0.207,0.21,Kepler-278,Lyra,K,1.3,2.94,4991,4.812101,,,2,0,1.719,4.157,0.17,0,0
Kepler-278 c,Neptunian,non-habitable,7.12,3.3,0.2,0.65,1.47,566.4,683.8,994.2,1.4,51.09,0.294,0.25,Kepler-278,Lyra,K,1.3,2.94,4991,4.812101,,,2,0,1.719,4.157,0.22,0,0
Kepler-279 b,Neptunian,non-habitable,9.4,3.62,0.2,0.72,1.61,974.3,974.3,974.3,1.9,12.31,0.112,0.11,Kepler-279,Lyra,F,1.23,1.27,6562,2.683133,,,3,0,1.173,2.72,0.19,0,0
Kepler-279 c,Neptunian,non-habitable,54.37,4.31,0.68,2.92,3.55,677,677,677,36.9,35.74,0.232,0.23,Kepler-279,Lyra,F,1.23,1.27,6562,2.683133,,,3,0,1.173,2.72,0.19,0,0
Kepler-279 d,Neptunian,non-habitable,41.33,3.1,1.38,4.29,3.65,588.2,588.2,588.2,57.2,54.41,0.3073,0.31,Kepler-279,Lyra,F,1.23,1.27,6562,2.683133,,,3,0,1.173,2.72,0.25,0,0
Kepler-280 b,Terran,non-habitable,3.05,1.44,1.01,1.46,1.45,1335.7,1335.7,1335.7,3.1,2.14,0.032,0.03,Kepler-280,Lyra,G,0.91,0.89,5744,0.77362,,,2,0,0.661,1.56,0.28,0,0
Kepler-280 c,Superterran,non-habitable,10.4,2,1.29,2.59,2.28,1009.7,1009.7,1009.7,13.4,4.81,0.056,0.06,Kepler-280,Lyra,G,0.91,0.89,5744,0.77362,,,2,0,0.661,1.56,0.26,0,0
Kepler-281 b,Neptunian,non-habitable,4.34,2.82,0.19,0.55,1.24,699.9,699.9,699.9,0.8,14.65,0.117,0.12,Kepler-281,Cygnus,G,0.98,0.9,5723,0.779596,,,2,0,0.665,1.569,0.24,0,0
Kepler-281 c,Neptunian,non-habitable,29.72,5.31,0.2,1.05,2.37,516.3,516.3,516.3,5.9,36.34,0.215,0.21,Kepler-281,Cygnus,G,0.98,0.9,5723,0.779596,,,2,0,0.665,1.569,0.21,0,0
Kepler-282 b,Terran,non-habitable,0.89,1.01,0.87,0.88,0.94,909.3,909.3,909.3,0.8,9.22,0.082,0.08,Kepler-282,Hercules,G,1.09,1.01,5876,1.091088,,,4,0,0.779,1.831,0.3,0,0
Kepler-282 c,Terran,non-habitable,1.59,1.2,0.93,1.11,1.15,799.8,799.8,799.8,1.5,13.64,0.106,0.11,Kepler-282,Hercules,G,1.09,1.01,5876,1.091088,,,4,0,0.779,1.831,0.3,0,0
Kepler-282 d,Superterran,non-habitable,64.86,2.46,4.34,10.68,5.13,629.2,629.2,629.2,281.2,24.81,0.1713,0.17,Kepler-282,Hercules,G,1.09,1.01,5876,1.091088,,,4,0,0.779,1.831,0.27,0,0
Kepler-282 e,Neptunian,non-habitable,61.04,3.1,2.04,6.34,4.44,518.4,518.4,518.4,124.8,44.35,0.2523,0.25,Kepler-282,Hercules,G,1.09,1.01,5876,1.091088,,,4,0,0.779,1.831,0.27,0,0
Kepler-283 b,Superterran,non-habitable,13.26,2.13,1.38,2.93,2.5,505.8,505.8,505.8,18.2,11.01,0.082,0.08,Kepler-283,Cygnus,K,0.61,0.57,4351,0.104471,,534,2,1,0.26,0.646,0.33,0,0
Kepler-283 c,Superterran,mesoplanet,7.04,1.81,1.18,2.14,1.97,248,248,248,8.3,92.74,0.341,0.34,Kepler-283,Cygnus,K,0.62,0.57,4351,0.104471,,534,2,1,0.26,0.646,0.79,1,0
Kepler-284 b,Superterran,non-habitable,16.46,2.24,1.46,3.28,2.71,690.9,690.9,690.9,24.1,12.7,0.104,0.1,Kepler-284,Cygnus,G,0.93,0.81,5615,0.585139,,,2,0,0.58,1.372,0.27,0,0
Kepler-284 c,Neptunian,non-habitable,3.38,2.61,0.19,0.5,1.14,482.8,482.8,482.8,0.6,37.51,0.213,0.21,Kepler-284,Cygnus,G,0.92,0.81,5615,0.585139,,,2,0,0.58,1.372,0.32,0,0
Kepler-285 b,Terran,non-habitable,2.37,1.34,0.97,1.31,1.33,1131.7,1131.7,1131.7,2.3,2.63,0.036,0.04,Kepler-285,Cygnus,G,0.85,0.81,5411,0.504626,,,2,0,0.545,1.297,0.29,0,0
Kepler-285 c,Terran,non-habitable,1.27,1.12,0.9,1.01,1.06,848.8,848.8,848.8,1.1,6.19,0.064,0.06,Kepler-285,Cygnus,G,0.85,0.81,5411,0.504626,,,2,0,0.545,1.297,0.3,0,0
Kepler-286 b,Terran,non-habitable,1.81,1.24,0.94,1.17,1.21,1388.6,1388.6,1388.6,1.7,1.8,0.027,0.03,Kepler-286,Cygnus,G,0.81,0.86,5580,0.643315,,,4,0,0.609,1.443,0.29,0,0
Kepler-286 c,Terran,non-habitable,2.51,1.37,0.98,1.34,1.35,1113.3,1113.3,1113.3,2.5,3.47,0.042,0.04,Kepler-286,Cygnus,G,0.82,0.86,5580,0.643315,,,4,0,0.609,1.443,0.29,0,0
Kepler-286 d,Terran,non-habitable,2.3,1.33,0.97,1.29,1.31,923.8,923.8,923.8,2.2,5.91,0.061,0.06,Kepler-286,Cygnus,G,0.87,0.86,5580,0.643315,,,4,0,0.609,1.443,0.29,0,0
Kepler-286 e,Superterran,non-habitable,6.4,1.77,1.16,2.05,1.9,543.9,543.9,543.9,7.4,29.22,0.176,0.18,Kepler-286,Cygnus,G,0.85,0.86,5580,0.643315,,,4,0,0.609,1.443,0.33,0,0
Kepler-287 b,Superterran,non-habitable,19.52,2.33,1.54,3.6,2.89,682.3,682.3,682.3,30.1,20.34,0.145,0.14,Kepler-287,Cygnus,G,0.98,1.03,5806,1.081614,,,2,0,0.779,1.834,0.26,0,0
Kepler-287 c,Neptunian,non-habitable,6.82,3.26,0.2,0.64,1.45,523.8,523.8,523.8,1.3,44.85,0.246,0.25,Kepler-287,Cygnus,G,0.99,1.03,5806,1.081614,,,2,0,0.779,1.834,0.26,0,0
Kepler-288 b,Superterran,non-habitable,5.14,1.67,1.11,1.85,1.76,1068.6,1068.6,1068.6,5.7,6.1,0.065,0.07,Kepler-288,Lyra,G,0.89,1.09,5918,1.307503,,,3,0,0.851,1.998,0.28,0,0
Kepler-288 c,Neptunian,non-habitable,4.45,2.84,0.19,0.55,1.25,728.1,728.1,728.1,0.9,19.31,0.14,0.14,Kepler-288,Lyra,G,0.89,1.09,5918,1.307503,,,3,0,0.851,1.998,0.23,0,0
Kepler-288 d,Neptunian,non-habitable,3.62,2.67,0.19,0.51,1.16,508.5,508.5,508.5,0.7,56.63,0.287,0.29,Kepler-288,Lyra,G,0.89,1.09,5918,1.307503,,,3,0,0.851,1.998,0.3,0,0
Kepler-289 b,Superterran,non-habitable,7.31,2.15,0.74,1.58,1.84,569.6,576.3,583.4,5.4,34.55,0.21,0.21,Kepler-289,Cygnus,G,1.08,1,5990,1.155041,0.65,700,3,0,0.796,1.866,0.3,0,0
Kepler-289 c,Terran,non-habitable,4.13,2.68,0.22,0.58,1.24,457.1,459.8,462.4,0.9,66.06,0.33,0.33,Kepler-289,Cygnus,G,1.08,1,5990,1.155041,0.65,700,3,0,0.796,1.866,0.33,0,0
Kepler-289 d,Jovian,non-habitable,131.95,11.58,0.08,0.98,3.38,369.2,369.8,370.4,11.2,125.85,0.51,0.51,Kepler-289,Cygnus,G,1.08,1,5990,1.155041,0.65,700,3,0,0.796,1.866,0.26,0,0
Kepler-290 b,Superterran,non-habitable,16.81,2.25,1.47,3.32,2.73,588.6,588.6,588.6,24.8,14.59,0.11,0.11,Kepler-290,Lyra,K,0.83,0.74,5147,0.344802,,,2,0,0.457,1.098,0.29,0,0
Kepler-290 c,Neptunian,non-habitable,3.77,2.7,0.19,0.52,1.18,431.2,431.2,431.2,0.7,36.77,0.205,0.2,Kepler-290,Lyra,K,0.85,0.74,5147,0.344802,,,2,0,0.457,1.098,0.36,0,0
Kepler-291 b,Superterran,non-habitable,14.15,2.16,1.4,3.03,2.56,1232.9,1232.9,1232.9,19.8,3.55,0.047,0.05,Kepler-291,Lyra,F,1.03,1.02,6002,1.211362,,,2,0,0.815,1.909,0.25,0,0
Kepler-291 c,Superterran,non-habitable,8.1,1.88,1.22,2.29,2.08,1048.4,1048.4,1048.4,9.9,5.7,0.065,0.07,Kepler-291,Lyra,F,1.03,1.02,6002,1.211362,,,2,0,0.815,1.909,0.27,0,0
Kepler-292 b,Terran,non-habitable,2.23,1.32,0.97,1.28,1.3,1137.8,1137.8,1137.8,2.2,2.58,0.035,0.04,Kepler-292,Cygnus,K,0.88,0.83,5299,0.487328,,,5,0,0.539,1.288,0.29,0,0
Kepler-292 c,Terran,non-habitable,3.22,1.47,1.02,1.5,1.48,1003.4,1003.4,1003.4,3.3,3.72,0.045,0.04,Kepler-292,Cygnus,K,0.88,0.83,5299,0.487328,,,5,0,0.539,1.288,0.29,0,0
Kepler-292 d,Superterran,non-habitable,16.11,2.23,1.45,3.24,2.69,816.3,816.3,816.3,23.4,7.06,0.068,0.07,Kepler-292,Cygnus,K,0.88,0.83,5299,0.487328,,,5,0,0.539,1.288,0.26,0,0
Kepler-292 e,Neptunian,non-habitable,3.62,2.67,0.19,0.51,1.16,683.5,683.5,683.5,0.7,11.98,0.097,0.1,Kepler-292,Cygnus,K,0.88,0.83,5299,0.487328,,,5,0,0.539,1.288,0.25,0,0
Kepler-292 f,Superterran,non-habitable,20.36,2.35,1.57,3.68,2.94,566.9,566.9,566.9,31.9,20.83,0.141,0.14,Kepler-292,Cygnus,K,0.88,0.83,5299,0.487328,,,5,0,0.539,1.288,0.29,0,0
Kepler-293 b,Neptunian,non-habitable,5.66,3.07,0.2,0.6,1.36,660.8,660.8,660.8,1.1,19.25,0.144,0.14,Kepler-293,Lyra,G,1.01,0.96,5804,0.9383,,,2,0,0.726,1.709,0.23,0,0
Kepler-293 c,Neptunian,non-habitable,11.18,3.83,0.2,0.76,1.71,468.9,468.9,468.9,2.2,54.16,0.286,0.29,Kepler-293,Lyra,G,1.01,0.96,5804,0.9383,,,2,0,0.726,1.709,0.28,0,0
Kepler-294 b,Superterran,non-habitable,6.4,1.77,1.16,2.05,1.9,1178.1,1178.1,1178.1,7.4,3.7,0.048,0.05,Kepler-294,Lyra,G,1.08,0.98,5913,1.053352,,,2,0,0.764,1.794,0.27,0,0
Kepler-294 c,Neptunian,non-habitable,3.82,2.71,0.19,0.52,1.19,968.6,968.6,968.6,0.7,6.63,0.071,0.07,Kepler-294,Lyra,G,1.09,0.98,5913,1.053352,,,2,0,0.764,1.794,0.23,0,0
Kepler-295 b,Terran,non-habitable,1.7,1.22,0.93,1.14,1.18,744.9,744.9,744.9,1.6,12.65,0.099,0.1,Kepler-295,Lyra,G,0.81,0.9,5603,0.716238,,,3,0,0.642,1.519,0.31,0,0
Kepler-295 c,Terran,non-habitable,1.45,1.16,0.92,1.07,1.11,622,622,622,1.3,21.53,0.142,0.14,Kepler-295,Lyra,G,0.82,0.9,5603,0.716238,,,3,0,0.642,1.519,0.33,0,0
Kepler-295 d,Terran,non-habitable,2.44,1.36,0.98,1.33,1.34,534.9,534.9,534.9,2.4,33.88,0.192,0.19,Kepler-295,Lyra,G,0.82,0.9,5603,0.716238,,,3,0,0.642,1.519,0.35,0,0
Kepler-296 b,Terran,non-habitable,0.71,0.94,0.85,0.8,0.87,709.9,709.9,709.9,0.6,3.62,0.039,0.04,Kepler-296,Draco,K,0.6,0.56,4249,0.091709,,226,5,2,0.244,0.61,0.32,0,0
Kepler-296 c,Superterran,non-habitable,13.85,2.15,1.39,2.99,2.54,603.3,603.3,603.3,19.3,5.84,0.054,0.05,Kepler-296,Draco,K,0.62,0.56,4249,0.091709,,226,5,2,0.244,0.61,0.29,0,0
Kepler-296 d,Superterran,non-habitable,17.55,2.27,1.49,3.39,2.78,401.4,401.4,401.4,26.2,19.85,0.122,0.12,Kepler-296,Draco,K,0.62,0.56,4249,0.091709,,226,5,2,0.244,0.61,0.42,0,0
Kepler-296 e,Terran,mesoplanet,3.32,1.48,1.03,1.52,1.5,255.1,267.4,282,3.4,34.14,0.149,0.15,Kepler-296,Draco,M,0.45,0.43,3572,0.027,4.2,226,5,2,0.134,0.347,0.85,1,0
Kepler-296 f,Superterran,psychroplanet,6.14,1.75,1.15,2.01,1.87,183.4,194,206.9,7,63.34,0.283,0.28,Kepler-296,Draco,M,0.45,0.43,3572,0.027,4.2,226,5,2,0.134,0.347,0.6,1,0
Kepler-297 b,Neptunian,non-habitable,4.57,2.87,0.19,0.56,1.26,510.1,510.1,510.1,0.9,38.87,0.217,0.22,Kepler-297,Draco,G,0.9,0.92,5619,0.75701,,,2,0,0.659,1.56,0.29,0,0
Kepler-297 c,Jovian,non-habitable,55.96,6.53,0.2,1.31,2.93,410,410,410,11.2,74.92,0.336,0.34,Kepler-297,Draco,G,0.9,0.92,5619,0.75701,,,2,0,0.659,1.56,0.26,0,0
Kepler-298 b,Superterran,non-habitable,9.51,1.96,1.26,2.47,2.2,530.1,530.1,530.1,12,10.48,0.08,0.08,Kepler-298,Draco,K,0.65,0.58,4465,0.119959,,474,3,1,0.277,0.686,0.32,0,0
Kepler-298 c,Superterran,non-habitable,8.88,1.93,1.24,2.39,2.15,406.6,406.6,406.6,11,22.93,0.136,0.14,Kepler-298,Draco,K,0.65,0.58,4465,0.119959,,474,3,1,0.277,0.686,0.44,0,0
Kepler-298 d,Superterran,mesoplanet,26.81,2.5,1.72,4.3,3.28,271.5,271.5,271.5,46.1,77.47,0.305,0.3,Kepler-298,Draco,K,0.65,0.58,4465,0.119959,,474,3,1,0.277,0.686,0.68,1,0
Kepler-299 b,Terran,non-habitable,2.23,1.32,0.97,1.28,1.3,1256.8,1256.8,1256.8,2.2,2.93,0.04,0.04,Kepler-299,Draco,G,0.97,1.03,5617,0.947506,,,4,0,0.738,1.745,0.29,0,0
Kepler-299 c,Neptunian,non-habitable,3.52,2.64,0.19,0.5,1.15,950,950,950,0.7,6.89,0.07,0.07,Kepler-299,Draco,G,0.97,1.03,5617,0.947506,,,4,0,0.738,1.745,0.23,0,0
Kepler-299 d,Superterran,non-habitable,7.73,1.86,1.2,2.24,2.04,731.7,731.7,731.7,9.3,15.05,0.118,0.12,Kepler-299,Draco,G,0.97,1.03,5617,0.947506,,,4,0,0.738,1.745,0.28,0,0
Kepler-299 e,Superterran,non-habitable,7.92,1.87,1.21,2.26,2.06,535.9,535.9,535.9,9.6,38.29,0.22,0.22,Kepler-299,Draco,G,0.97,1.03,5617,0.947506,,,4,0,0.738,1.745,0.33,0,0
Kepler-300 b,Superterran,non-habitable,5.14,1.67,1.11,1.85,1.76,816.7,816.7,816.7,5.7,10.45,0.094,0.09,Kepler-300,Cygnus,G,0.94,0.9,5986,0.933086,,,2,0,0.716,1.678,0.28,0,0
Kepler-300 c,Superterran,non-habitable,16.81,2.25,1.47,3.32,2.73,519.9,519.9,519.9,24.8,40.71,0.232,0.23,Kepler-300,Cygnus,G,0.94,0.9,5986,0.933086,,,2,0,0.716,1.678,0.31,0,0
Kepler-301 b,Terran,non-habitable,2.37,1.34,0.97,1.31,1.33,1282,1282,1282,2.3,2.51,0.036,0.04,Kepler-301,Draco,G,0.91,0.9,5815,0.830948,,,3,0,0.683,1.607,0.29,0,0
Kepler-301 c,Terran,non-habitable,2.37,1.34,0.97,1.31,1.33,993,993,993,2.3,5.42,0.06,0.06,Kepler-301,Draco,G,0.91,0.9,5815,0.830948,,,3,0,0.683,1.607,0.29,0,0
Kepler-301 d,Superterran,non-habitable,6.1,1.75,1.14,2,1.87,726.8,726.8,726.8,7,13.75,0.112,0.11,Kepler-301,Draco,G,0.91,0.9,5815,0.830948,,,3,0,0.683,1.607,0.29,0,0
Kepler-302 b,Neptunian,non-habitable,13.26,4.05,0.2,0.81,1.81,636.3,636.3,636.3,2.6,30.18,0.193,0.19,Kepler-302,Cygnus,G,1.05,1.22,5740,1.44963,,,2,0,0.906,2.136,0.2,0,0
Kepler-302 c,Jovian,non-habitable,,12.44,,,,394.2,394.2,394.2,,127.28,0.503,0.5,Kepler-302,Cygnus,G,1.05,1.22,5740,1.44963,,,2,0,0.906,2.136,0.22,0,0
Kepler-303 b,Terran,non-habitable,0.58,0.88,0.84,0.74,0.81,777.7,777.7,777.7,0.5,1.94,0.024,0.02,Kepler-303,Lyra,K,0.59,0.48,3944,0.050017,,,2,0,0.182,0.461,0.31,0,0
Kepler-303 c,Terran,non-habitable,1.35,1.14,0.91,1.04,1.09,504.6,504.6,504.6,1.2,7.06,0.057,0.06,Kepler-303,Lyra,K,0.59,0.48,3944,0.050017,,,2,0,0.182,0.461,0.38,0,0
