PLZ,Gemeinde,Land,SCB
3812,Wilderswil,CH,17
3814,Roggenburg,CH,1
3814,Gsteigwiler,CH,1
3816,Lütschental,CH,2
3818,Grindelwald,CH,11
3822,Lauterbrunnen,CH,2
3852,Ringgenberg,CH,2
3853,Niederried,CH,1
3855,Brienz ,CH,5
3855,Brienz,CH,5
3857,Unterbach,CH,1
3857,Unterbach ,CH,1
3860,Meiringen,CH,21
3860,Schattenhalb,CH,1
3862,Innertkirchen,CH,1
3900,Brigerbad,CH,1
3904,Naters,CH,5
3906,Saas-Fee,CH,3
3908,Saas-Balen,CH,1
3911,Ried-Brig,CH,3
3920,Zermatt,CH,1
3930,Eyholz,CH,1
3938,Ausserberg,CH,1
3945,Gampel,CH,1
3960,Sierre,CH,1
3970,Salgesch,CH,1
3987,Riederalp VS,CH,1
4001,Basel,CH,1
4051,Basel,CH,2
4052,Basel,CH,1
4053,Basel,CH,3
4056,Basel,CH,1
4058,Basel,CH,1
4105,Biel-Benken ,CH,1
4106,Therwil,CH,1
4125,Riehen,CH,1
4133,Pratteln,CH,3
4142,Münchenstein,CH,1
4142,Aesch,CH,1
4143,Dornach,CH,1
4144,Arlesheim,CH,2
4146,Wahlen,CH,1
4153,Reinach,CH,1
4222,Zwingen,CH,1
4223,Blauen,CH,2
4225,Brislach,CH,2
4227,Büsserach,CH,1
4242,Laufen,CH,4
4244,Röschenz,CH,2
4245,Kleinlützel,CH,1
4246,Wahlen,CH,5
4310,Rheinfelden,CH,7
4313,Möhlin,CH,3
4314,Zeiningen,CH,2
4315,Zuzgen,CH,3
4324,Obermumpf,CH,1
4325,Schupfart,CH,1
4332,Stein ,CH,1
4410,Liestal,CH,3
4415,Lausen,CH,7
4417,Ziefen,CH,1
4422,Arisdorf,CH,3
4431,Bennwil,CH,3
4432,Lampenberg,CH,1
4434,Hölstein,CH,2
4435,Niederdorf,CH,1
4436,Oberdorf ,CH,5
4437,Waldenburg,CH,7
4448,Läufelfingen,CH,1
4450,Sissach,CH,4
4452,Itingen,CH,4
4456,Tenniken,CH,1
4457,Diegten,CH,1
4461,Böckten,CH,2
4463,Buus,CH,1
4467,Rothenfluh,CH,1
4492,Tecknau,CH,2
4497,Rünenberg,CH,1
